,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,63.4227076,4.2406586,129.0,state,fb-survey
1,al,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,63.2153645,2.028702,565.0054,state,fb-survey
2,ar,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,59.2437516,2.3779594,427.0,state,fb-survey
3,az,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,65.4631123,1.7770121,715.977,state,fb-survey
4,ca,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,74.006089,0.7298766,3611.1058,state,fb-survey
5,co,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,72.0662814,1.6767725,715.9993,state,fb-survey
6,ct,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,78.5413364,1.7256085,566.0,state,fb-survey
7,de,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,78.0052545,3.1957056,168.0,state,fb-survey
8,fl,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,62.8551857,0.9919066,2373.0002,state,fb-survey
9,ga,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,55.2454253,1.6926323,862.9955,state,fb-survey
10,hi,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,79.3656412,3.8069093,113.0,state,fb-survey
11,ia,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,69.3809497,2.0041864,528.8783,state,fb-survey
12,id,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,62.8248395,2.9799301,263.0099,state,fb-survey
13,il,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,68.1540104,1.2122238,1477.0003,state,fb-survey
14,in,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,65.365883,1.6205911,862.0022,state,fb-survey
15,ks,smoothed_wcovid_vaccinated_or_accept,2020-12-20,2020-12-22,2,64.154785,2.3125764,429.9996,state,fb-survey
